tree_id,center_x,center_y,angle
97,-3.4435,1.8309,48.0000
98,3.4435,1.8309,331.0000
99,3.4605,-0.9923,302.0000
100,-3.2889,-1.1971,49.0000
101,3.4915,-0.2441,250.0000
102,-3.3090,-3.1954,125.0000
103,2.0000,-3.4641,219.0000
104,-3.3979,-2.4687,83.0000
105,3.4528,-3.3344,137.0000
106,3.5248,3.4038,314.0000
107,-0.8951,3.5901,299.0000
108,-2.8320,3.6248,17.0000
109,-3.3979,2.4687,28.0000
110,2.5164,3.7307,0.0000
111,3.3669,0.4732,242.0000
112,-1.5781,-3.2357,77.0000
113,-2.2927,-3.3991,101.0000
114,0.6251,-3.5453,204.0000
115,-3.4795,3.8644,0.0000
116,-1.8412,3.7749,13.0000
117,3.8125,-3.6817,164.0000
118,-3.5912,0.2511,41.0000
119,1.1125,-3.4238,227.0000
120,3.5464,3.9387,0.0000
121,-3.8527,-1.4023,73.0000
122,3.9611,0.5567,0.0000
123,-0.3554,-3.3814,171.0000
124,-3.9068,3.2782,79.0000
125,3.8024,-2.7626,192.0000
126,-3.9611,-0.5567,82.0000
127,1.5733,3.8942,42.0000
128,-3.9564,3.8206,36.0000
129,4.0196,1.7896,208.0000
130,4.0451,2.9389,226.0000
131,-1.7973,-3.6851,177.0000
132,-4.0407,1.4707,103.0000
133,3.8527,-1.4023,256.0000
134,-0.7293,4.1362,0.0000
135,-3.9564,-3.8206,93.0000
136,-4.0000,0.0000,62.0000
137,0.7467,4.2347,0.0000
138,4.2402,-2.6496,0.0000
139,4.1722,4.0290,241.0000
140,-2.9552,-3.7825,120.0000
141,-0.8951,-3.5901,136.0000
142,-1.3288,4.0895,21.0000
143,-3.8833,-2.8214,108.0000
144,-4.2937,1.9117,0.0000
145,-0.1466,4.1974,296.0000
146,4.1722,-4.0290,190.0000
147,-4.2381,-2.2535,97.0000
148,-2.4000,4.1569,26.0000
149,1.7607,4.3578,0.0000
150,4.2132,-3.5353,297.0000
151,4.2895,-0.3000,259.0000
152,2.9078,4.3110,332.0000
153,-0.1396,-3.9976,204.0000
154,3.9479,4.3846,310.0000
155,-3.9479,4.3846,313.0000
156,-2.1480,-4.4041,49.0000
157,1.6483,-4.0796,236.0000
158,1.0645,-4.2693,184.0000
159,4.3893,0.3069,220.0000
160,2.4500,-4.2435,244.0000
161,-4.5197,3.7924,48.0000
162,4.6141,-1.3231,0.0000
163,2.2357,4.5838,290.0000
164,-4.6038,4.4458,8.0000
165,4.4017,0.9356,247.0000
166,0.1640,4.6971,0.0000
167,4.6045,1.6759,214.0000
168,-0.7293,-4.1362,146.0000
169,4.6038,-4.4458,222.0000
170,4.6038,4.4458,233.0000
171,-1.1854,4.7544,0.0000
172,-1.3906,-4.2798,123.0000
173,-4.5913,2.4413,39.0000
174,-4.5305,-3.2916,118.0000
175,0.4599,-4.3759,226.0000
176,-4.4166,-1.6075,104.0000
177,-3.4477,-4.4129,132.0000
178,-4.3880,-4.2374,120.0000
179,4.6591,2.0744,321.0000
180,4.5677,-2.0337,244.0000
181,1.1612,4.6574,331.0000
182,-2.3234,4.7636,282.0000
183,3.8171,4.8857,0.0000
184,-4.7883,-0.3348,93.0000
185,-2.6500,-4.5899,109.0000
186,-2.8500,4.9363,0.0000
187,-4.4562,0.6263,31.0000
188,4.9634,4.7931,0.0000
189,3.5708,-4.5705,112.0000
190,-3.8787,4.9645,0.0000
191,-0.5226,4.9726,0.0000
192,4.9793,-4.1781,0.0000
193,-4.6985,1.7101,75.0000
194,4.6643,2.9146,259.0000
195,3.8171,-4.8857,185.0000
196,-4.8881,0.3418,59.0000
197,-4.9986,-1.4333,45.0000
198,2.9500,5.1095,0.0000
199,0.9030,5.1210,0.0000
