tree_id,center_x,center_y,angle
95,-2.5276,3.3543,24.0000
96,-0.3778,-3.0769,207.0000
97,3.3922,-2.1197,252.0000
98,0.1779,3.3953,323.0000
99,1.1720,3.4039,353.0000
100,3.4528,3.3344,229.0000
101,3.4715,1.5456,304.0000
102,-3.5649,2.4045,0.0000
103,0.8800,-3.2841,147.0000
104,3.0079,-0.7500,306.0000
105,-3.5355,3.5355,23.0000
106,-3.5453,0.6251,56.0000
107,-3.5628,-1.5863,67.0000
108,-0.8800,-3.2841,127.0000
109,-2.0362,3.6734,0.0000
110,-3.3941,-3.3941,106.0000
111,-3.6875,1.2697,0.0000
112,-0.8323,3.6052,349.0000
113,3.7159,-1.7327,0.0000
114,3.4782,3.7299,0.0000
115,2.4045,-3.5649,151.0000
116,2.2787,3.6466,37.0000
117,-2.5863,-3.5597,107.0000
118,3.7302,-0.7251,278.0000
119,3.7855,0.3312,256.0000
120,3.4648,-3.4648,131.0000
121,3.8184,-3.8184,163.0000
122,-0.2041,3.8947,0.0000
123,-3.8335,-2.8887,70.0000
124,1.3339,-3.6648,154.0000
125,-3.9603,-1.0612,0.0000
126,4.0247,0.7823,0.0000
127,3.9564,3.8206,219.0000
128,3.8857,-3.1466,287.0000
129,-3.9642,2.8801,24.0000
130,2.6841,3.9794,7.0000
131,-3.8105,-2.2000,23.0000
132,-1.3288,4.0895,0.0000
133,-3.9976,-0.1396,74.0000
134,-3.1399,4.0189,58.0000
135,0.7823,4.0247,334.0000
136,-1.7535,-3.5952,124.0000
137,4.0616,2.1596,294.0000
138,-2.5436,4.0706,316.0000
139,-0.4509,-3.6724,160.0000
140,-4.0224,3.7510,83.0000
141,-3.9878,1.8595,34.0000
142,3.9596,4.1002,33.0000
143,0.2041,-3.8947,155.0000
144,4.1345,-2.0165,273.0000
145,-4.2426,4.2426,0.0000
146,-3.8184,-3.8184,154.0000
147,0.3748,4.2836,0.0000
148,-4.0844,0.3573,30.0000
149,1.6127,4.2011,35.0000
150,4.1719,-4.1719,189.0000
151,4.3226,-1.5733,0.0000
152,4.3841,4.3841,0.0000
153,-4.3257,1.2404,23.0000
154,2.0708,4.4409,0.0000
155,-4.3503,-2.0286,37.0000
156,1.6857,-4.1723,117.0000
157,-4.3018,-3.7395,43.0000
158,-0.9919,-3.9782,91.0000
159,4.3990,1.3449,239.0000
160,-3.1547,4.5053,0.0000
161,-0.7988,4.5301,0.0000
162,-4.5399,-1.2164,0.0000
163,2.4722,-4.1144,208.0000
164,3.0196,4.4768,310.0000
165,-4.5033,2.6000,89.0000
166,4.2132,-3.5353,217.0000
167,-2.9389,-4.0451,138.0000
168,4.4573,2.6782,42.0000
169,-2.5695,4.6355,0.0000
170,0.5984,-4.2582,160.0000
171,-3.7759,4.6629,0.0000
172,-4.3841,-4.3841,37.0000
173,-1.7918,4.6679,0.0000
174,3.0400,-4.3415,233.0000
175,4.5748,-0.4808,249.0000
176,4.6321,3.4905,240.0000
177,-1.7232,-4.2650,105.0000
178,-4.6669,4.6669,23.0000
179,-4.6543,0.6541,59.0000
180,-0.3209,-4.5888,137.0000
181,4.7000,0.0000,284.0000
182,4.7144,-2.8327,232.0000
183,-4.7144,-2.8327,60.0000
184,4.5962,-4.5962,221.0000
185,3.9018,4.8183,0.0000
186,4.8221,1.6604,0.0000
187,-4.8339,3.0205,0.0000
188,1.5760,4.8504,0.0000
189,-3.5507,-4.7119,82.0000
190,4.8083,4.8083,218.0000
191,-4.7376,-4.7376,74.0000
192,-4.6886,-0.3279,91.0000
193,-0.1675,4.7971,24.0000
194,2.7149,4.8979,0.0000
195,-1.2679,-4.4218,162.0000
196,4.7276,-1.6278,301.0000
197,0.8509,4.8256,6.0000
198,-4.8296,1.2941,48.0000
199,-4.8787,-2.0709,57.0000
