num_trees,greedy_score,sa_score,improvement,improvement_pct,time_seconds,max_iterations,actual_ffe
43,0.620403,0.616399,0.004003,0.645256,29,548,2998
44,0.629972,0.616707,0.013265,2.105594,30,547,2999
45,0.659957,0.625049,0.034909,5.289536,31,546,3000
46,0.645611,0.610356,0.035254,5.460626,32,544,2996
47,0.650084,0.620056,0.030027,4.618957,33,543,2997
48,0.636540,0.617219,0.019321,3.035283,34,542,2998
49,0.645266,0.616091,0.029175,4.521356,35,541,2999
50,0.652798,0.620256,0.032542,4.985007,36,540,3000
51,0.639998,0.618015,0.021984,3.434989,37,538,2996
52,0.646146,0.622751,0.023395,3.620676,38,537,2997
53,0.633954,0.609129,0.024826,3.915990,39,536,2998
54,0.622215,0.606615,0.015600,2.507145,40,535,2999
55,0.610902,0.601415,0.009487,1.552898,41,534,3000
56,0.640727,0.622419,0.018308,2.857323,43,532,2996
57,0.669804,0.602297,0.067507,10.078598,49,531,2997
58,0.658255,0.602081,0.056175,8.533852,49,530,2998
59,0.647099,0.616520,0.030579,4.725506,49,529,2999
60,0.636314,0.601960,0.034353,5.398800,50,528,3000
61,0.625882,0.604517,0.021365,3.413591,52,526,2996
62,0.615787,0.612863,0.002924,0.474869,51,525,2997
63,0.624021,0.597022,0.026999,4.326581,53,524,2998
64,0.678728,0.615896,0.062832,9.257314,56,523,2999
65,0.668287,0.607437,0.060849,9.105275,54,522,3000
66,0.663033,0.612227,0.050806,7.662707,55,520,2996
67,0.653137,0.622203,0.030934,4.736261,56,519,2997
68,0.648644,0.617522,0.031122,4.798035,61,518,2998
69,0.651652,0.613550,0.038102,5.846969,62,517,2999
70,0.642342,0.599544,0.042798,6.662799,62,516,3000
71,0.633295,0.615389,0.017906,2.827392,63,514,2996
72,0.644855,0.612107,0.032747,5.078263,63,513,2997
73,0.636021,0.616189,0.019832,3.118178,63,512,2998
74,0.627426,0.603151,0.024275,3.869012,65,511,2999
75,0.642869,0.606490,0.036379,5.658843,67,510,3000
76,0.671314,0.599848,0.071466,10.645631,68,508,2996
77,0.672364,0.609383,0.062981,9.367030,69,507,2997
78,0.663744,0.598139,0.065605,9.884107,70,506,2998
79,0.655342,0.609639,0.045703,6.973866,71,505,2999
80,0.667251,0.603496,0.063755,9.554852,75,504,3000
81,0.659014,0.598782,0.060232,9.139709,75,502,2996
82,0.650977,0.610505,0.040471,6.217028,76,501,2997
83,0.643134,0.600767,0.042367,6.587525,70,500,2998
84,0.635477,0.607530,0.027948,4.397894,72,499,2999
85,0.628571,0.608413,0.020159,3.207070,73,498,3000
86,0.669139,0.608696,0.060444,9.033052,79,496,2996
87,0.661448,0.609228,0.052220,7.894746,75,495,2997
88,0.653932,0.601353,0.052579,8.040449,77,494,2998
89,0.671888,0.603906,0.067982,10.118055,76,493,2999
90,0.664422,0.610128,0.054294,8.171593,78,492,3000
91,0.657121,0.602563,0.054557,8.302488,79,490,2996
92,0.649978,0.607240,0.042739,6.575383,80,489,2997
93,0.661430,0.606256,0.055174,8.341681,82,488,2998
94,0.654394,0.611131,0.043263,6.611225,85,487,2999
95,0.647506,0.604265,0.043240,6.677999,85,486,3000
96,0.640761,0.609277,0.031484,4.913502,87,484,2996
97,0.643242,0.605343,0.037899,5.891946,89,483,2997
98,0.638316,0.601700,0.036616,5.736332,91,482,2998
99,0.635698,0.607342,0.028356,4.460623,92,481,2999
100,0.656227,0.594181,0.062046,9.455027,93,480,3000
101,0.649730,0.597104,0.052626,8.099617,94,478,2996
102,0.643360,0.597561,0.045799,7.118659,96,477,2997
103,0.654226,0.608009,0.046218,7.064455,98,476,2998
104,0.677028,0.598384,0.078644,11.616085,99,475,2999
105,0.670580,0.602923,0.067657,10.089311,123,474,3000
106,0.664254,0.609448,0.054806,8.250734,190,472,2996
107,0.658046,0.609857,0.048189,7.323063,113,471,2997
108,0.657819,0.597637,0.060182,9.148723,103,470,2998
109,0.651784,0.610272,0.041512,6.369023,104,469,2999
110,0.645859,0.601149,0.044710,6.922530,105,468,3000
111,0.668579,0.602867,0.065713,9.828704,106,466,2996
112,0.662610,0.608999,0.053611,8.090870,108,465,2997
113,0.661289,0.595188,0.066101,9.995755,109,464,2998
114,0.655488,0.591532,0.063956,9.756953,111,463,2999
115,0.673104,0.610091,0.063013,9.361515,116,462,3000
116,0.667301,0.611024,0.056278,8.433605,116,460,2996
117,0.661598,0.591239,0.070359,10.634645,120,459,2997
118,0.655991,0.605380,0.050611,7.715173,120,458,2998
119,0.650478,0.603493,0.046985,7.223156,125,457,2999
120,0.658546,0.606854,0.051692,7.849368,124,456,3000
121,0.653103,0.606044,0.047060,7.205532,126,454,2996
122,0.657783,0.602015,0.055768,8.478201,127,453,2997
123,0.652435,0.601856,0.050579,7.752335,129,452,2998
124,0.647174,0.604149,0.043025,6.648095,130,451,2999
125,0.658080,0.599881,0.058199,8.843812,119,450,3000
126,0.652857,0.600810,0.052047,7.972168,119,448,2996
127,0.647717,0.608263,0.039454,6.091262,121,447,2997
128,0.642656,0.596439,0.046217,7.191604,125,446,2998
129,0.637675,0.599381,0.038293,6.005179,126,445,2999
130,0.679432,0.612149,0.067283,9.902801,125,444,3000
131,0.674245,0.593011,0.081234,12.048122,128,442,2996
132,0.673003,0.595081,0.077923,11.578341,130,441,2997
133,0.671495,0.604240,0.067255,10.015690,131,440,2998
134,0.666483,0.594288,0.072195,10.832226,133,439,2999
135,0.661547,0.603687,0.057859,8.746057,132,438,3000
136,0.656682,0.608272,0.048411,7.372009,138,436,2996
137,0.651889,0.600333,0.051556,7.908691,136,435,2997
138,0.647165,0.611549,0.035616,5.503448,139,434,2998
139,0.652295,0.596271,0.056023,8.588675,140,433,2999
140,0.647636,0.604042,0.043593,6.731137,142,432,3000
141,0.643043,0.592746,0.050296,7.821600,144,430,2996
142,0.638514,0.607256,0.031258,4.895398,145,429,2997
143,0.648832,0.607594,0.041237,6.355633,150,428,2998
144,0.644326,0.600948,0.043378,6.732294,150,427,2999
145,0.639882,0.601503,0.038379,5.997806,152,426,3000
146,0.641904,0.600901,0.041003,6.387679,158,424,2996
147,0.658142,0.596747,0.061395,9.328591,154,423,2997
148,0.653695,0.611359,0.042336,6.476448,154,422,2998
149,0.656387,0.604932,0.051455,7.839121,187,421,2999
150,0.652011,0.596679,0.055332,8.486315,199,420,3000
151,0.647693,0.597096,0.050597,7.811838,196,418,2996
152,0.643432,0.602251,0.041181,6.400155,198,417,2997
153,0.649020,0.591999,0.057021,8.785711,200,416,2998
154,0.647841,0.599245,0.048596,7.501206,201,415,2999
155,0.647378,0.607326,0.040052,6.186820,169,414,3000
156,0.643228,0.602565,0.040663,6.321744,174,412,2996
157,0.665428,0.606455,0.058974,8.862501,171,411,2997
158,0.661217,0.602184,0.059033,8.927960,173,410,2998
159,0.657058,0.602575,0.054483,8.292020,170,409,2999
160,0.652952,0.601100,0.051851,7.941049,174,408,3000
161,0.648896,0.599413,0.049483,7.625689,175,406,2996
162,0.656515,0.609774,0.046741,7.119607,180,405,2997
163,0.652488,0.606518,0.045970,7.045298,177,404,2998
164,0.648509,0.604996,0.043514,6.709794,181,403,2999
165,0.644579,0.598956,0.045623,7.077933,180,402,3000
166,0.644825,0.608296,0.036529,5.664948,164,400,2996
167,0.640964,0.604927,0.036037,5.622251,165,399,2997
168,0.656959,0.609624,0.047335,7.205131,167,398,2998
169,0.653072,0.607312,0.045760,7.006832,169,397,2999
170,0.649230,0.604639,0.044591,6.868313,172,396,3000
171,0.645434,0.609638,0.035795,5.545896,171,394,2996
172,0.641681,0.605121,0.036560,5.697592,173,393,2997
173,0.643479,0.608171,0.035308,5.487117,176,392,2998
174,0.655322,0.611869,0.043454,6.630897,178,391,2999
175,0.651578,0.603020,0.048557,7.452284,180,390,3000
176,0.647876,0.602964,0.044911,6.932114,181,388,2996
177,0.654852,0.606987,0.047865,7.309278,183,387,2997
178,0.664538,0.605238,0.059300,8.923500,184,386,2998
179,0.660826,0.606685,0.054141,8.192925,185,385,2999
180,0.657155,0.607875,0.049279,7.498901,188,384,3000
181,0.657771,0.607306,0.050466,7.672200,189,382,2996
182,0.656986,0.602886,0.054099,8.234481,188,381,2997
183,0.653396,0.610135,0.043260,6.620813,186,380,2998
184,0.649845,0.598534,0.051310,7.895752,189,379,2999
185,0.646332,0.607367,0.038965,6.028656,190,378,3000
186,0.642857,0.607639,0.035218,5.478405,191,376,2996
187,0.639419,0.607745,0.031674,4.953627,193,375,2997
188,0.668572,0.609351,0.059221,8.857775,196,374,2998
189,0.665034,0.599229,0.065805,9.895049,198,373,2999
190,0.661534,0.605601,0.055933,8.455106,204,372,3000
191,0.658071,0.598251,0.059820,9.090149,203,370,2996
192,0.654643,0.611953,0.042690,6.521058,205,369,2997
193,0.651251,0.612470,0.038781,5.954850,209,368,2998
194,0.647894,0.608265,0.039629,6.116572,207,367,2999
195,0.644572,0.616054,0.028518,4.424316,209,366,3000
196,0.655442,0.597500,0.057942,8.840156,210,364,2996
197,0.652115,0.605278,0.046837,7.182355,212,363,2997
198,0.659267,0.607816,0.051450,7.804182,215,362,2998
199,0.655954,0.613438,0.042516,6.481506,217,361,2999
200,0.652674,0.605100,0.047574,7.289085,221,360,3000
